binary,type,function,link
XBootMgrSleep.exe,OtherMSBinaries,Execute (EXE),https://lolbas-project.github.io/lolbas/OtherMSBinaries/XBootMgrSleep/
devtunnel.exe,OtherMSBinaries,Download,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Devtunnel/
vsls-agent.exe,OtherMSBinaries,Execute (DLL),https://lolbas-project.github.io/lolbas/OtherMSBinaries/Vsls-agent/
vstest.console.exe,OtherMSBinaries,AWL bypass (DLL),https://lolbas-project.github.io/lolbas/OtherMSBinaries/Vstest.console/
winfile.exe,OtherMSBinaries,Execute (EXE),https://lolbas-project.github.io/lolbas/OtherMSBinaries/Winfile/
xsd.exe,OtherMSBinaries,Download (INetCache),https://lolbas-project.github.io/lolbas/OtherMSBinaries/Xsd/
CL_LoadAssembly.ps1,Scripts,Execute (DLL (.NET)),https://lolbas-project.github.io/lolbas/Scripts/CL_LoadAssembly/
CL_Mutexverifiers.ps1,Scripts,Execute (PowerShell),https://lolbas-project.github.io/lolbas/Scripts/CL_Mutexverifiers/
CL_Invocation.ps1,Scripts,Execute (CMD),https://lolbas-project.github.io/lolbas/Scripts/CL_Invocation/
Launch-VsDevShell.ps1,Scripts,Execute (EXE),https://lolbas-project.github.io/lolbas/Scripts/Launch-VsDevShell/
Manage-bde.wsf,Scripts,Execute (EXE),https://lolbas-project.github.io/lolbas/Scripts/Manage-bde/
Pubprn.vbs,Scripts,Execute (SCT),https://lolbas-project.github.io/lolbas/Scripts/Pubprn/
Syncappvpublishingserver.vbs,Scripts,Execute (PowerShell),https://lolbas-project.github.io/lolbas/Scripts/Syncappvpublishingserver/
UtilityFunctions.ps1,Scripts,Execute (DLL (.NET)),https://lolbas-project.github.io/lolbas/Scripts/UtilityFunctions/
winrm.vbs,Scripts,Execute (CMD; Remote); AWL bypass (XSL),https://lolbas-project.github.io/lolbas/Scripts/Winrm/
Pester.bat,Scripts,Execute (EXE),https://lolbas-project.github.io/lolbas/Scripts/Pester/
